# IEL
ID	Taxa	Gloss	GlossID	OriginalForm	IPA	Tokens	CogID
1120	Swedish	flow	54	'fly:ta	flyːta	f l yː t a	597
1121	English	flow	54	fləʊ	fləʊ	f l əʊ	597
1122	Breton_ST	flow	54	're:dɛk	reːdɛk	r eː d ɛ k	606
1123	Catalan	flow	54	'korə	korə	k o r ə	601
1124	Danish	flow	54	ˈfly:ðə	flyːðə	f l yː ð ə	597
1125	Dutch_List	flow	54	'vlujə(n)	vlujən	v l u j ə n	605
1126	French	flow	54	kule	kule	k u l e	601
1127	Greek_Mod	flow	54	ˈre̞ˌo̞	re̞o̞	r e̞o̞	599
1128	Marathi	flow	54	'waɦne	waɦne	w a ɦ n e	600
1129	Russian	flow	54	tʲetʃ	tʲeʧ	tʲ e ʧ	602
1130	Spanish	flow	54	flu'iɾ	fluiɾ	f l ui ɾ	597
1131	Bihari	flow	54	bəhəb	bəhəb	b ə h ə b	598
1132	Oriya	flow	54	bɔh-	bɔh	b ɔ h	598
1133	Urdu	flow	54	bəhnə	bəhnə	b ə h n ə	598
1134	Swedish	flow	54	'strøma	strøma	s t r ø m a	608
1135	Breton_ST	flow	54	'be:rã	beːrã	b eː r ã	597
1136	Italian	flow	54	ko'lare	kolare	k o l a r e	601
1137	Polish	flow	54	ˈpwɨnɔ̃ʨ	pwɨnɔ̃ʨ	p w ɨ n ɔ̃ ʨ	604
1138	Italian	flow	54	flu'ire	fluire	f l ui r e	597
1139	Catalan	flow	54	rə'ʒa	rəʒa	r ə ʒ a	609
1140	Portuguese_ST	flow	54	fluˈiɾ	fluiɾ	f l ui ɾ	597
1141	Swedish	flow	54	'rina	rina	r i n a	610
# 
1142	Czech	flower	55	kvjɛt	kvjɛt	k v j ɛ t	614
1143	German	flower	55	'blu:mə	bluːmə	b l uː m ə	611
1144	Italian	flower	55	'fjore	fjore	f j o r e	617
1145	Swedish	flower	55	'blɔmstər	blɔmstər	b l ɔ m s t ə r	611
1146	Catalan	flower	55	flɔ, flɔ̞ɾ	flɔ	f l ɔ	611
1147	Danish	flower	55	b̥lʌmsd̥ʰ	b̥lʌmsd̥ʰ	b̥ l ʌ m s d̥ʰ	611
1148	Dutch_List	flower	55	blum	blum	b l u m	611
1149	English	flower	55	flaʊə	flaʊə	f l aʊə	611
1150	French	flower	55	flœʀ	flœʀ	f l œ ʀ	611
1151	Greek_Mod	flower	55	luˈluði	luluði	l u l u ð i	612
1152	Marathi	flower	55	pʰu:l	pʰuːl	pʰ uː l	611
1153	Polish	flower	55	kfʲat	kfʲat	k fʲ a t	615
1154	Portuguese_ST	flower	55	floɾ	floɾ	f l o ɾ	611
1155	Russian	flower	55	tsvʲet	tsvʲet	t s vʲ e t	613
1156	Spanish	flower	55	floɾ	floɾ	f l o ɾ	611
1157	Urdu	flower	55	pʰul	pʰul	pʰ u l	611
1158	Bihari	flower	55	phul	pʰul	pʰ u l	611
1159	Oriya	flower	55	phulɔ	pʰulɔ	pʰ u l ɔ	611
1160	Armenian_Mod	flower	55	ʦɑˈʁik	ʦɑʁik	ʦ ɑ ʁ i k	616
# 
1161	Armenian_Mod	fly	56	tʰərˈʧʰɛl	tʰərʧʰɛl	tʰ ə r ʧʰ ɛ l	625
1162	Czech	fly	56	lɛːtat	lɛːtat	l ɛː t a t	624
1163	German	fly	56	'fli:gn̩	fliːgn̩	f l iː g n̩	618
1164	Italian	fly	56	vo'lare	volare	v o l a r e	619
1165	Swedish	fly	56	'fly:ga	flyːga	f l yː g a	618
1166	French	fly	56	vɔle	vɔle	v ɔ l e	619
1167	Breton_ST	fly	56	'ni:ʒal	niːʒal	n iː ʒ a l	627
1168	Danish	fly	56	ˈfly:və	flyːvə	f l yː v ə	618
1169	Dutch_List	fly	56	'vliɣə(n)	vliɣən	v l i ɣ ə n	619
1170	English	fly	56	flaɪ	flaɪ	f l aɪ	618
1171	Greek_Mod	fly	56	pe̞ˈto̞	pe̞to̞	p e̞ t o̞	621
1172	Marathi	fly	56	uɖ'ɳe	uɖɳe	u ɖ ɳ e	623
1173	Portuguese_ST	fly	56	vuˈaɾ	vuaɾ	v ua ɾ	619
1174	Russian	fly	56	lʲe'tʲetʲ	lʲetʲetʲ	lʲ e tʲ e tʲ	624
1175	Spanish	fly	56	bo'laɾ	bolaɾ	b o l a ɾ	618
1176	Bihari	fly	56	urəb	urəb	u r ə b	622
1177	Oriya	fly	56	uṛ-	uɽ	u ɽ	620
1178	Urdu	fly	56	ʔʊɽnə	ʔʊɽnə	ʔ ʊ ɽ n ə	626
1179	Polish	fly	56	ˈlataʨ	lataʨ	l a t a ʨ	624
# 
1180	Armenian_Mod	fog	57	məˈʃuʃ	məʃuʃ	m ə ʃ u ʃ	640
1181	Czech	fog	57	ml̩ɦa	ml̩ɦa	m l̩ ɦ a	638
1182	German	fog	57	'ne:bl̩	neːbl̩	n eː b l̩	633
1183	Italian	fog	57	'nebbja	nebbja	n e bː j a	633
1184	English	fog	57	fɑg	fɑg	f ɑ g	639
1185	French	fog	57	bʀujaʀ	bʀujaʀ	b ʀ u j a ʀ	636
1186	Marathi	fog	57	'dʰuka	dʰuka	dʰ u k a	634
1187	Polish	fog	57	mɡwa	mɡwa	m ɡ w a	631
1188	Portuguese_ST	fog	57	nɨvuˈejɾu	nɨvuejɾu	n ɨ v ue j ɾ u	629
1189	Russian	fog	57	tu'man	tuman	t u m a n	637
1190	Spanish	fog	57	'njeβla	njeβla	n j e β l a	635
1191	Breton_ST	fog	57	'latar	latar	l a t a r	642
1192	Catalan	fog	57	ˈbɔjɾə, ˈbɔjɾa	bɔjɾə	b ɔ j ɾ ə	643
1193	Danish	fog	57	d̥ʰɔ:wə	d̥ʰɔːwə	d̥ʰ ɔː w ə	628
1194	Dutch_List	fog	57	'nevəl	nevəl	n e v ə l	629
1195	Bihari	fog	57	dhũin	dʱũin	dʱ ũi n	632
1196	Oriya	fog	57	kuhuḍi	kuhuɖi	k u h u ɖ i	630
1197	Urdu	fog	57	d̪ʰʊ̃d̪	d̪ʰʊ̃d̪	d̪ʰ ʊ̃ d̪	641
1198	Breton_ST	fog	57	'brỹmɛn	brỹmɛn	b r ỹ m ɛ n	636
1199	Dutch_List	fog	57	mɪst	mɪst	m ɪ s t	640
1200	Greek_Mod	fog	57	o̞ˈmixli	o̞mixli	o̞ m i x l i	631
1201	Armenian_Mod	fog	57	mɑrɑˈχuʁ	mɑrɑχuʁ	m ɑ r ɑ χ u ʁ	638
1202	Catalan	fog	57	'bromə	bromə	b r o m ə	636
# 
1203	Armenian_Mod	foot	58	votkʰ	votkʰ	v o t kʰ	652
1204	Czech	foot	58	noɦa	noɦa	n o ɦ a	650
1205	German	foot	58	fu:s	fuːs	f uː s	647
1206	Italian	foot	58	'pjɛde	pjɛde	p j ɛ d e	648
1207	Swedish	foot	58	fuːt	fuːt	f uː t	644
1208	Breton_ST	foot	58	trwa:t	trwaːt	t r w aː t	653
1209	Catalan	foot	58	pɛuw	pɛuw	p ɛu w	654
1210	Danish	foot	58	foð	foð	f o ð	644
1211	Dutch_List	foot	58	vut	vut	v u t	652
1212	English	foot	58	fʊt	fʊt	f ʊ t	644
1213	French	foot	58	pje	pje	p j e	648
1214	Greek_Mod	foot	58	ˈpo̞ði	po̞ði	p o̞ ð i	644
1215	Marathi	foot	58	paj	paj	p a j	648
1216	Polish	foot	58	ˈstɔpa	stɔpa	s t ɔ p a	651
1217	Portuguese_ST	foot	58	pɛ	pɛ	p ɛ	645
1218	Russian	foot	58	no'ga	noga	n o g a	649
1219	Spanish	foot	58	pje	pje	p j e	648
1220	Bihari	foot	58	pyaer	pyaer	p yae r	646
1221	Oriya	foot	58	padɔ	padɔ	p a d ɔ	644
1222	Urdu	foot	58	pɑũ, peɾ	pɑuː	p ɑuː	645
# 
1223	Urdu	four	59	ʧɑɾ	ʧɑɾ	ʧ ɑ ɾ	658
1224	Armenian_Mod	four	59	ʧʰoɾs	ʧʰoɾs	ʧʰ o ɾ s	658
1225	Czech	four	59	tʂtɪr̝ɪ	tʂtɪr̝ɪ	t ʂ t ɪ r̝ ɪ	659
1226	German	four	59	fi:ɐ̯	fiːɐ̯	f iːɐ̯	656
1227	Italian	four	59	'kwattro	kwattro	k w a tː r o	660
1228	Swedish	four	59	ˈfyːra	fyːra	f yː r a	655
1229	Breton_ST	four	59	'pɛ:var, 'pe:dɛr	pɛːvar	p ɛː v a r	662
1230	Catalan	four	59	'kwatɾə	kwatɾə	k w a t ɾ ə	660
1231	Danish	four	59	'fi:ʌ	fiːʌ	f iːʌ	656
1232	Dutch_List	four	59	vir	vir	v i r	661
1233	English	four	59	fɔ:	fɔː	f ɔː	656
1234	French	four	59	katʀ	katʀ	k a t ʀ	657
1235	Greek_Mod	four	59	ˈte̞se̞ˌra	te̞se̞ra	t e̞ s e̞ r a	659
1236	Marathi	four	59	tʃaɾ	ʧaɾ	ʧ a ɾ	658
1237	Polish	four	59	ˈʧtɛrɨ	ʧtɛrɨ	ʧ t ɛ r ɨ	657
1238	Portuguese_ST	four	59	ˈkuatɾu	kuatɾu	k ua t ɾ u	657
1239	Russian	four	59	tʃe'tɨrʲe	ʧetɨrʲe	ʧ e t ɨ rʲ e	657
1240	Spanish	four	59	'kwatɾo	kwatɾo	k w a t ɾ o	660
1241	Bihari	four	59	cəir	cəir	c əi r	658
1242	Oriya	four	59	cari	cari	c a r i	658
# 
1243	Armenian_Mod	freeze	60	sɑrˈʧʰɛl	sɑrʧʰɛl	s ɑ r ʧʰ ɛ l	664
1244	Czech	freeze	60	zamr̩znoʊ̯t	zamr̩znoʊ̯t	z a m r̩ z n oʊ̯ t	670
1245	German	freeze	60	'fri:rən	friːrən	f r iː r ə n	663
1246	Italian	freeze	60	dʒe'lare	dʒelare	d ʒ e l a r e	675
1247	Swedish	freeze	60	'fry:sa	fryːsa	f r yː s a	663
1248	Breton_ST	freeze	60	'rɛ:vĩ	rɛːvĩ	r ɛː v ĩ	674
1249	Catalan	freeze	60	ʒə'la	ʒəla	ʒ ə l a	664
1250	Danish	freeze	60	'fʁy:sə	fʁyːsə	f ʁ yː s ə	663
1251	Dutch_List	freeze	60	'vrizə(n)	vrizən	v r i z ə n	673
1252	English	freeze	60	fri:z	friːz	f r iː z	663
1253	French	freeze	60	ʒəle	ʒəle	ʒ ə l e	664
1254	Greek_Mod	freeze	60	paˈɣo̞no̞	paɣo̞no̞	p a ɣ o̞ n o̞	666
1255	Marathi	freeze	60	'goʈʰɳe	goʈʰɳe	g o ʈʰ ɳ e	668
1256	Portuguese_ST	freeze	60	ʒɨˈlaɾ	ʒɨlaɾ	ʒ ɨ l a ɾ	664
1257	Russian	freeze	60	zamʲer'zatʲ	zamʲerzatʲ	z a mʲ e r z a tʲ	670
1258	Spanish	freeze	60	e'laɾ	elaɾ	e l a ɾ	669
1259	Bihari	freeze	60	jəməb	jəməb	j ə m ə b	667
1260	Oriya	freeze	60	bɔsiǰiba	bɔsiǰiba	b ɔ s i ǰ i b a	665
1261	Urdu	freeze	60	ʤəmnə	ʤəmnə	ʤ ə m n ə	672
1262	Polish	freeze	60	ˈmarznɔ̃ʨ	marznɔ̃ʨ	m a r z n ɔ̃ ʨ	671
# 
1263	Urdu	fruit	61	pʰəl	pʰəl	pʰ ə l	676
1264	German	fruit	61	fruxt	fruxt	f r u x t	676
1265	Italian	fruit	61	'frutto	frutto	f r u tː o	676
1266	Swedish	fruit	61	frɵkt	frɵkt	f r ɵ k t	676
1267	Danish	fruit	61	fʁɔg̥d̥ʰ	fʁɔg̥d̥ʰ	f ʁ ɔ g̥ d̥ʰ	676
1268	Dutch_List	fruit	61	vrʏχt	vrʏχt	v r ʏ χ t	678
1269	English	fruit	61	fru:t	fruːt	f r uː t	676
1270	French	fruit	61	fʀɥi	fʀɥi	f ʀ ɥ i	676
1271	Greek_Mod	fruit	61	ˈfruto̞	fruto̞	f r u t o̞	676
1272	Marathi	fruit	61	pʰəɭ	pʰəɭ	pʰ ə ɭ	676
1273	Polish	fruit	61	ˈɔvɔʦ	ɔvɔʦ	ɔ v ɔ ʦ	677
1274	Portuguese_ST	fruit	61	ˈfɾutɐ, ˈfɾutu	fɾutɐ	f ɾ u t ɐ	676
1275	Russian	fruit	61	plod	plod	p l o d	676
1276	Spanish	fruit	61	'fɾuta	fɾuta	f ɾ u t a	676
1277	Breton_ST	fruit	61	'frwe:s	frweːs	f r w eː s	676
1278	Catalan	fruit	61	fru'i, 'fruijt	frui	f r ui	676
1279	Bihari	fruit	61	phal	pʰal	pʰ a l	676
1280	Oriya	fruit	61	phɔḷɔ	pʰɔɭɔ	pʰ ɔ ɭ ɔ	676
1281	Oriya	fruit	61	gilɔ	gilɔ	g i l ɔ	679
1282	Czech	fruit	61	plot	plot	p l o t	676
# 
1283	Bihari	full	62	bhərəl	bʱərəl	bʱ ə r ə l	680
1284	Oriya	full	62	purṇṇɔ	purɳɳɔ	p u r ɳː ɔ	680
1285	Oriya	full	62	bhɔrti	bʱɔrti	bʱ ɔ r t i	680
1286	Urdu	full	62	puɾə	puɾə	p u ɾ ə	680
1287	Italian	full	62	'pjɛno	pjɛno	p j ɛ n o	684
1288	Polish	full	62	ˈpɛwnɨ	pɛwnɨ	p ɛ w n ɨ	682
1289	Armenian_Mod	full	62	li, ˈlikʰə	li	l i	683
1290	French	full	62	plɛ̃	plɛ̃	p l ɛ̃	680
1291	Russian	full	62	'polnɨj	polnɨj	p o l n ɨ j	680
1292	German	full	62	fɔl	fɔl	f ɔ l	680
1293	Spanish	full	62	'ʎeno	ʎeno	ʎ e n o	681
1294	Czech	full	62	pl̩niː	pl̩niː	p l̩ n iː	680
1295	Breton_ST	full	62	lœ̃:n	lœ̃ːn	l œ̃ː n	681
1296	Swedish	full	62	fɵl	fɵl	f ɵ l	680
# 
1297	Armenian_Mod	give	63	tɑl	tɑl	t ɑ l	687
1298	Czech	give	63	daːvat	daːvat	d aː v a t	692
1299	German	give	63	'ge:bn̩	geːbn̩	g eː b n̩	691
1300	Italian	give	63	'dare	dare	d a r e	687
1301	Swedish	give	63	je:	jeː	j eː	685
1302	Breton_ST	give	63	'rɛĩ	rɛĩ	r ɛĩ	694
1303	Catalan	give	63	du'na	duna	d u n a	689
1304	Danish	give	63	g̥i	g̥i	g̥ i	686
1305	Dutch_List	give	63	'ɣevə(n)	ɣevən	ɣ e v ə n	693
1306	English	give	63	gɪv	gɪv	g ɪ v	693
1307	French	give	63	dɔne	dɔne	d ɔ n e	689
1308	Greek_Mod	give	63	ˈðino̞	ðino̞	ð i n o̞	689
1309	Marathi	give	63	'deɳe	deɳe	d e ɳ e	689
1310	Polish	give	63	ˈdavaʨ	davaʨ	d a v a ʨ	692
1311	Portuguese_ST	give	63	daɾ	daɾ	d a ɾ	687
1312	Russian	give	63	da'vatʲ	davatʲ	d a v a tʲ	692
1313	Spanish	give	63	daɾ	daɾ	d a ɾ	687
1314	Bihari	give	63	deb	deb	d e b	690
1315	Oriya	give	63	de-	de	d e	688
1316	Urdu	give	63	d̪enə	d̪enə	d̪ e n ə	689
# 
1317	Armenian_Mod	good	64	lɑv	lɑv	l ɑ v	704
1318	Czech	good	64	dobriː	dobriː	d o b r iː	703
1319	German	good	64	gu:t	guːt	g uː t	695
1320	Italian	good	64	'bwɔno	bwɔno	b w ɔ n o	702
1321	Swedish	good	64	gu:d	guːd	g uː d	695
1322	Breton_ST	good	64	maːd	maːd	m aː d	705
1323	Catalan	good	64	bɔ	bɔ	b ɔ	697
1324	Danish	good	64	g̥o	g̥o	g̥ o	696
1325	Dutch_List	good	64	ɣut	ɣut	ɣ u t	695
1326	English	good	64	gʊd	gʊd	g ʊ d	695
1327	French	good	64	bɔ̃	bɔ̃	b ɔ̃	697
1328	Greek_Mod	good	64	kaˈlo̞s	kalo̞s	k a l o̞ s	699
1329	Marathi	good	64	'tsaŋglə	tsaŋglə	t s a ŋ g l ə	701
1330	Polish	good	64	ˈdɔbrɨ	dɔbrɨ	d ɔ b r ɨ	703
1331	Portuguese_ST	good	64	bõ	bõ	b õ	697
1332	Russian	good	64	xo'roʃɨj	xoroʃɨj	x o r o ʃ ɨ j	699
1333	Spanish	good	64	'bweno	bweno	b w e n o	702
1334	Bihari	good	64	nik	nik	n i k	700
1335	Bihari	good	64	barhĩyã	barhĩyã	b a r h ĩyã	698
1336	Oriya	good	64	bhɔlɔ	bʱɔlɔ	bʱ ɔ l ɔ	698
1337	Swedish	good	64	brɑː	brɑː	b r ɑː	698
# 
1338	Armenian_Mod	grass	65	χot	χot	χ o t	713
1339	Czech	grass	65	traːva	traːva	t r aː v a	712
1340	Urdu	grass	65	ɡʰɑs	ɡʰɑs	ɡʰ ɑ s	708
1341	German	grass	65	gra:s	graːs	g r aː s	706
1342	Italian	grass	65	'ɛrba	ɛrba	ɛ r b a	711
1343	Swedish	grass	65	grɛ:s	grɛːs	g r ɛː s	706
1344	Portuguese_ST	grass	65	ˈɛɾvɐ	ɛɾvɐ	ɛ ɾ v ɐ	707
1345	Russian	grass	65	tra'va	trava	t r a v a	712
1346	Spanish	grass	65	'jeɾβa	jeɾβa	j e ɾ β a	710
1347	Danish	grass	65	g̥ʁas	g̥ʁas	g̥ ʁ a s	706
1348	Catalan	grass	65	'erßə	erβə	e r β ə	711
1349	Greek_Mod	grass	65	xo̞rˈtari	xo̞rtari	x o̞ r t a r i	706
1350	Marathi	grass	65	'gəwət	gəwət	g ə w ə t	709
1351	Polish	grass	65	ˈtrava	trava	t r a v a	712
1352	French	grass	65	ɛʀb	ɛʀb	ɛ ʀ b	711
1353	Breton_ST	grass	65	gɛwt	gɛwt	g ɛ w t	709
1354	English	grass	65	grɑ:s	grɑːs	g r ɑː s	706
1355	Dutch_List	grass	65	ɣrɑs	ɣrɑs	ɣ r ɑ s	706
1356	Oriya	grass	65	ghasɔ	gʱasɔ	gʱ a s ɔ	708
1357	Marathi	grass	65	gʰəs	gʰəs	gʰ ə s	708
# 
1358	Armenian_Mod	green	66	kɑˈnɑʧʰ	kɑnɑʧʰ	k ɑ n ɑ ʧʰ	720
1359	Czech	green	66	zɛlɛniː	zɛlɛniː	z ɛ l ɛ n iː	719
1360	Swedish	green	66	grøːn	grøːn	g r øː n	714
1361	Italian	green	66	'verde	verde	v e r d e	715
1362	German	green	66	gry:n	gryːn	g r yː n	714
1363	Breton_ST	green	66	'gla:s	glaːs	g l aː s	714
1364	Catalan	green	66	bert	bert	b e r t	717
1365	Danish	green	66	g̥ʁɶ̝n	g̥ʁɶ̝n	g̥ ʁ ɶ̝ n	714
1366	Dutch_List	green	66	ɣrun	ɣrun	ɣ r u n	714
1367	English	green	66	gri:n	griːn	g r iː n	714
1368	French	green	66	vɛʀ	vɛʀ	v ɛ ʀ	715
1369	Greek_Mod	green	66	ˈprasiˌno̞s	prasino̞s	p r a s i n o̞ s	717
1370	Marathi	green	66	'ɦiɾwa	ɦiɾwa	ɦ i ɾ w a	718
1371	Polish	green	66	ʑɛˈlɔnɨ	ʑɛlɔnɨ	ʑ ɛ l ɔ n ɨ	719
1372	Portuguese_ST	green	66	ˈveɾdɨ	veɾdɨ	v e ɾ d ɨ	715
1373	Russian	green	66	zʲe'lʲonɨj	zʲelʲonɨj	zʲ e lʲ o n ɨ j	719
1374	Spanish	green	66	'beɾðe	beɾðe	b e ɾ ð e	717
1375	Bihari	green	66	həriyər	həriyər	h ə r iyə r	718
1376	Oriya	green	66	sagua	sagua	s a g ua	716
1377	Urdu	green	66	həɾɑ	həɾɑ	h ə ɾ ɑ	718
1378	Breton_ST	green	66	'gwe:r	gweːr	g w eː r	721
# 
1379	Armenian_Mod	guts	67	ɑˈʁikʰ	ɑʁikʰ	ɑ ʁ i kʰ	734
1380	Czech	guts	67	vɲɪtr̝̊noscɪ	vɲɪtr̝noscɪ	v ɲ ɪ t r̝ n o s c ɪ	732
1381	German	guts	67	'a‿ingəva‿idə	aingəvaidə	ai n g ə v ai d ə	728
1382	Italian	guts	67	intes'tino	intestino	i n t e s t i n o	725
1383	Swedish	guts	67	tarm	tarm	t a r m	722
1384	Breton_ST	guts	67	bu'zɛlɛn	buzɛlɛn	b u z ɛ l ɛ n	736
1385	Catalan	guts	67	bu'ðeʎs	buðeʎs	b u ð e ʎ s	737
1386	Danish	guts	67	d̥ʰɑm	d̥ʰɑm	d̥ʰ ɑ m	723
1387	Dutch_List	guts	67	dɑrm	dɑrm	d ɑ r m	722
1388	English	guts	67	gʌts	gʌts	g ʌ t s	733
1389	French	guts	67	bwajo	bwajo	b w a j o	730
1390	Russian	guts	67	'kɨskɨ	kɨskɨ	k ɨ s k ɨ	731
1391	Bihari	guts	67	ãt	ãt	ã t	727
1392	Urdu	guts	67	bəɽi ʔɑ̃t̪	bəɽi#ʔɑ̃t̪	b ə ɽ i # ʔ ɑ̃ t̪	735
1393	Oriya	guts	67	ɔntɔ	ɔntɔ	ɔ n t ɔ	725
1394	German	guts	67	gə'dɛrm	gədɛrm	g ə d ɛ r m	733
1395	Polish	guts	67	vnɛ̃ˈʧnɔɕʨi	vnɛ̃ʧnɔɕʨi	v n ɛ̃ ʧ n ɔ ɕ ʨ i	732
1396	Portuguese_ST	guts	67	ẽˈtɾɐɲɐʃ	ẽtɾɐɲɐʃ	ẽ t ɾ ɐ ɲ ɐ ʃ	724
1397	Greek_Mod	guts	67	ˈsplaxna	splaxna	s p l a x n a	726
1398	Marathi	guts	67	ɦusaɾi:	ɦusaɾiː	ɦ u s a ɾ iː	729
1399	Spanish	guts	67	'tɾipas	tɾipas	t ɾ i p a s	722
1400	Armenian_Mod	guts	67	pʰoɾoˈtikʰ	pʰoɾotikʰ	pʰ o ɾ o t i kʰ	735
1401	Portuguese_ST	guts	67	ĩtɨʃˈtinu	ĩtɨʃtinu	ĩ t ɨ ʃ t i n u	738
# 
1402	Armenian_Mod	hair	68	mɑz	mɑz	m ɑ z	748
1403	Czech	hair	68	vlasɪ	vlasɪ	v l a s ɪ	746
1404	German	hair	68	ha:ɐ̯	haːɐ̯	h aːɐ̯	740
1405	Italian	hair	68	'pelo	pelo	p e l o	742
1406	Swedish	hair	68	ho:r	hoːr	h oː r	739
1407	Breton_ST	hair	68	blɛw	blɛw	b l ɛ w	742
1408	Catalan	hair	68	pɛl	pɛl	p ɛ l	742
1409	Danish	hair	68	hɒ	hɒ	h ɒ	740
1410	Dutch_List	hair	68	har	har	h a r	739
1411	English	hair	68	hɛə	hɛə	h ɛə	740
1412	French	hair	68	ʃəvø	ʃəvø	ʃ ə v ø	745
1413	Greek_Mod	hair	68	maˈʎa	maʎa	m a ʎ a	743
1414	Marathi	hair	68	kes	kes	k e s	744
1415	Polish	hair	68	vwɔs	vwɔs	v w ɔ s	747
1416	Portuguese_ST	hair	68	kɐˈβelu	kɐβelu	k ɐ β e l u	741
1417	Russian	hair	68	'volosɨ	volosɨ	v o l o s ɨ	746
1418	Spanish	hair	68	ka'βeʎo	kaβeʎo	k a β e ʎ o	741
1419	Urdu	hair	68	bɑl	bɑl	b ɑ l	742
1420	Bihari	hair	68	kes	kes	k e s	744
1421	Oriya	hair	68	baḷɔ	baɭɔ	b a ɭ ɔ	742
1422	Italian	hair	68	ka'pello	kapello	k a p e lː o	741
1423	Catalan	hair	68	kə'ßɛʎ	kəβɛʎ	k ə β ɛ ʎ	741
# 
1424	Armenian_Mod	hand	69	ʣɛrkʰ	ʣɛrkʰ	ʣ ɛ r kʰ	755
1425	Czech	hand	69	rʊka	rʊka	r ʊ k a	754
1426	German	hand	69	hant	hant	h a n t	749
1427	Italian	hand	69	'mano	mano	m a n o	753
1428	Swedish	hand	69	hand	hand	h a n d	749
1429	Polish	hand	69	ˈrɛ̃ka	rɛ̃ka	r ɛ̃ k a	754
1430	Catalan	hand	69	ma	ma	m a	750
1431	Danish	hand	69	hʌn	hʌn	h ʌ n	749
1432	Dutch_List	hand	69	hɑnt	hɑnt	h ɑ n t	749
1433	English	hand	69	hænd	hænd	h æ n d	749
1434	French	hand	69	mɛ̃	mɛ̃	m ɛ̃	750
1435	Greek_Mod	hand	69	ˈçe̞ri	çe̞ri	ç e̞ r i	752
1436	Marathi	hand	69	ɦat	ɦat	ɦ a t	751
1437	Portuguese_ST	hand	69	mɐ̃u	mɐ̃u	m ɐ̃u	750
1438	Russian	hand	69	ru'ka	ruka	r u k a	754
1439	Spanish	hand	69	'mano	mano	m a n o	753
1440	Breton_ST	hand	69	dɔʁn	dɔʁn	d ɔ ʁ n	756
1441	Bihari	hand	69	hath	hatʰ	h a tʰ	751
1442	Urdu	hand	69	hɑt̪ʰ	hɑt̪ʰ	h ɑ t̪ʰ	751
1443	Oriya	hand	69	hatɔ	hatɔ	h a t ɔ	751
# 
1444	Urdu	he	70	woʰ	woʰ	w oʰ	763
1445	Armenian_Mod	he	70	nɑ	nɑ	n ɑ	761
1446	Czech	he	70	on	on	o n	761
1447	German	he	70	e:ɐ̯	eːɐ̯	eːɐ̯	760
1448	Italian	he	70	'eʎʎi, 'lui	eʎʎi	e ʎː i	758
1449	Swedish	he	70	han	han	h a n	757
1450	Breton_ST	he	70	ẽ:	ẽː	ẽː	760
1451	Danish	he	70	han	han	h a n	757
1452	Dutch_List	he	70	hɛi	hɛi	h ɛi	762
1453	English	he	70	hi:	hiː	h iː	762
1454	French	he	70	il	il	i l	758
1455	Marathi	he	70	to	to	t o	759
1456	Polish	he	70	ɔn	ɔn	ɔ n	761
1457	Portuguese_ST	he	70	ˈelɨ	elɨ	e l ɨ	758
1458	Russian	he	70	on	on	o n	761
1459	Spanish	he	70	el	el	e l	758
1460	Oriya	he	70	ta	ta	t a	759
1461	Marathi	he	70	ɦa	ɦa	ɦ a	762
1462	Catalan	he	70	eʎ	eʎ	e ʎ	758
# 
1463	Armenian_Mod	head	71	gəˈluχ	gəluχ	g ə l u χ	771
1464	Czech	head	71	ɦlava	ɦlava	ɦ l a v a	772
1465	German	head	71	kɔp͜f	kɔp͜f	k ɔ p͜f	766
1466	Italian	head	71	'tɛsta	tɛsta	t ɛ s t a	777
1467	Swedish	head	71	'hʉ:vɵd	hʉːvɵd	h ʉː v ɵ d	764
1468	Breton_ST	head	71	pɛ̃n	pɛ̃n	p ɛ̃ n	776
1469	Catalan	head	71	kap	kap	k a p	766
1470	Danish	head	71	ho:əð	hoːəð	h oːə ð	765
1471	Dutch_List	head	71	hoft	hoft	h o f t	775
1472	English	head	71	hɛd	hɛd	h ɛ d	765
1473	French	head	71	tɛt	tɛt	t ɛ t	770
1474	Greek_Mod	head	71	ce̞ˈfali	ce̞fali	c e̞ f a l i	766
1475	Marathi	head	71	'ɖokə	ɖokə	ɖ o k ə	769
1476	Polish	head	71	ˈɡwɔva	ɡwɔva	ɡ w ɔ v a	773
1477	Portuguese_ST	head	71	kɐˈβesɐ	kɐβesɐ	k ɐ β e s ɐ	766
1478	Russian	head	71	golo'va	golova	g o l o v a	771
1479	Spanish	head	71	ka'βeθa	kaβeθa	k a β e θ a	766
1480	Urdu	head	71	səɾ	səɾ	s ə ɾ	774
1481	Bihari	head	71	math	matʰ	m a tʰ	768
1482	Oriya	head	71	muṇḍɔ	muɳɖɔ	m u ɳ ɖ ɔ	767
# 
1483	Armenian_Mod	hear	72	ləˈsɛl	ləsɛl	l ə s ɛ l	788
1484	Czech	hear	72	slɪʃɛt	slɪʃɛt	s l ɪ ʃ ɛ t	786
1485	German	hear	72	'hørən	hørən	h ø r ə n	778
1486	Italian	hear	72	u'dire	udire	u d i r e	790
1487	Swedish	hear	72	'hœ:ra	hœːra	h œː r a	778
1488	Danish	hear	72	'ho:ʌ	hoːʌ	h oːʌ	779
1489	Dutch_List	hear	72	'horə(n)	horən	h o r ə n	778
1490	English	hear	72	hɪə	hɪə	h ɪə	779
